rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_parm_prov,koi_count,koi_tce_delivname,koi_datalink_dvr,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
2304,4832197,K01661.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,0.94773253,5.39e-07,-5.39e-07,137.12993,0.000464,-0.000464,2454970.13,0.000464,-0.000464,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,004/004832/004832197/dv/kplr004832197-20160209194854_dvr.pdf,290.73804,39.919651,11.51,11.821,11.469,11.377,11.352,10.522,10.263,10.218
2305,4844004,K01662.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,0.784031658,1e-06,-1e-06,133.38391,0.001,-0.001,2454966.384,0.001,-0.001,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,004/004844/004844004/dv/kplr004844004-20160209194854_dvr.pdf,294.13202,39.981979,15.479,16.104,15.406,15.211,15.151,14.123,13.77,13.775
2306,4927315,K01663.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,0,q1_q17_dr25_sup_koi,11.76921923,4.015e-05,-4.015e-05,138.41222,0.00284,-0.00284,2454971.412,0.00284,-0.00284,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,004/004927/004927315/dv/kplr004927315-20160209194854_dvr.pdf,292.79404,40.074581,14.986,15.434,14.943,14.795,14.759,13.848,13.589,13.541
2307,4928119,K01664.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,44.638983058,9.631e-06,-9.631e-06,156.45087,0.00019,-0.00019,2454989.451,0.00019,-0.00019,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,004/004928/004928119/dv/kplr004928119-20160209194854_dvr.pdf,293.02615,40.073051,15.51,15.977,15.443,15.31,15.183,14.408,14.016,13.902
2308,4932442,K01665.01,Kepler-923 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,6.93365167,4.111e-05,-4.111e-05,137.07375,0.00537,-0.00537,2454970.074,0.00537,-0.00537,q1_q17_dr25_sup_koi,2,q1_q17_dr25_tce,004/004932/004932442/dv/kplr004932442-20160209194854_dvr.pdf,294.17108,40.055168,14.042,14.439,13.954,13.871,13.819,12.978,12.717,12.665
2309,4932442,K01665.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,5.91393977,4.933e-05,-4.933e-05,137.17182,0.00775,-0.00775,2454970.172,0.00775,-0.00775,q1_q17_dr25_sup_koi,2,q1_q17_dr25_tce,004/004932/004932442/dv/kplr004932442-20160209194854_dvr.pdf,294.17108,40.055168,14.042,14.439,13.954,13.871,13.819,12.978,12.717,12.665
2310,5008501,K01666.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,0.968026356,1.011e-06,-1.011e-06,131.756162,0.000864,-0.000864,2454964.756,0.000864,-0.000864,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005008/005008501/dv/kplr005008501-20160209194854_dvr.pdf,291.01971,40.177589,14.479,14.814,14.428,14.335,14.329,13.577,13.315,13.256
2311,5015913,K01667.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,1.179969562,2.57e-07,-2.57e-07,133.381942,0.000177,-0.000177,2454966.382,0.000177,-0.000177,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005015/005015913/dv/kplr005015913-20160209194854_dvr.pdf,293.20209,40.170921,12.989,13.563,12.94,12.743,12.636,11.704,11.368,11.266
2312,5103942,K01668.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,10.10176739,2.387e-05,-2.387e-05,131.80667,0.00186,-0.00186,2454964.807,0.00186,-0.00186,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005103/005103942/dv/kplr005103942-20160209194854_dvr.pdf,293.1416,40.262299,14.694,15.143,14.648,14.502,14.414,13.511,13.186,13.148
2313,5183357,K01669.01,Kepler-924 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,61.0373591,0.0003231,-0.0003231,175.17671,0.0046,-0.0046,2455008.177,0.0046,-0.0046,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005183/005183357/dv/kplr005183357-20160209194854_dvr.pdf,290.66852,40.39772,14.171,14.53,14.119,14.018,13.95,13.114,12.83,12.745
2314,5184709,K01670.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,10.57910009,3.362e-05,-3.362e-05,141.07251,0.00275,-0.00275,2454974.073,0.00275,-0.00275,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005184/005184709/dv/kplr005184709-20160209194854_dvr.pdf,291.12006,40.333988,14.572,14.937,14.486,14.416,14.389,13.532,13.24,13.171
2315,5195172,K01671.01,Kepler-1763 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,1.480283464,6.172e-06,-6.172e-06,134.37254,0.00325,-0.00325,2454967.373,0.00325,-0.00325,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005195/005195172/dv/kplr005195172-20160209194854_dvr.pdf,294.11307,40.362968,13.522,13.925,13.475,13.349,13.348,12.471,12.182,12.134
2316,5269467,K01672.01,Kepler-925 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,33.8677783,0.0001667,-0.0001667,137.51532,0.00411,-0.00411,2454970.515,0.00411,-0.00411,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005269/005269467/dv/kplr005269467-20160209194854_dvr.pdf,290.10654,40.490662,15.81,16.834,15.759,15.371,15.174,13.978,13.406,13.339
2317,5271608,K01673.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,0,1,0,q1_q17_dr25_sup_koi,2.49047468,1.163e-05,-1.163e-05,133.44225,0.00428,-0.00428,2454966.442,0.00428,-0.00428,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005271/005271608/dv/kplr005271608-20160209194854_dvr.pdf,290.73367,40.43116,15.429,15.903,15.372,15.227,15.104,14.182,13.868,13.799
2318,5357470,K01674.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,2.17257963,7.969e-06,-7.969e-06,133.00429,0.00113,-0.00113,2454966.004,0.00113,-0.00113,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005357/005357470/dv/kplr005357470-20160209194854_dvr.pdf,290.2442,40.559269,14.845,15.307,14.831,14.647,14.553,13.679,13.36,13.32
2319,5360920,K01675.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,14.62399621,3.962e-05,-3.962e-05,144.45527,0.00225,-0.00225,2454977.455,0.00225,-0.00225,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005360/005360920/dv/kplr005360920-20160209194854_dvr.pdf,291.33719,40.558201,15.789,16.318,15.746,15.562,15.489,14.545,14.166,14.071
2320,5443775,K01676.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,0,1,0,q1_q17_dr25_sup_koi,3.307669761,3.902e-06,-3.902e-06,131.56743,0.000992,-0.000992,2454964.567,0.000992,-0.000992,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005443/005443775/dv/kplr005443775-20160209194854_dvr.pdf,290.33612,40.653061,12.936,13.35,12.873,12.758,12.738,11.857,11.578,11.559
2321,5526717,K01677.01,Kepler-926 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,52.069002,0.0001959,-0.0001959,178.15525,0.00284,-0.00284,2455011.155,0.00284,-0.00284,q1_q17_dr25_sup_koi,2,q1_q17_dr25_tce,005/005526/005526717/dv/kplr005526717-20160209194854_dvr.pdf,289.67935,40.700459,14.279,14.76,14.221,14.073,14.0,13.105,12.789,12.687
2322,5526717,K01677.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,8.51170088,,,131.7557438,,,2454964.756,,,q1_q17_dr25_sup_koi,2,q1_q17_dr25_tce,005/005526/005526717/dv/kplr005526717-20160209194854_dvr.pdf,289.67935,40.700459,14.279,14.76,14.221,14.073,14.0,13.105,12.789,12.687
2323,5527172,K01678.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,3.183961388,1.069e-06,-1.069e-06,132.865355,0.000294,-0.000294,2454965.865,0.000294,-0.000294,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005527/005527172/dv/kplr005527172-20160209194854_dvr.pdf,289.81805,40.723919,12.678,13.099,12.621,12.498,12.432,11.554,11.259,11.175
2324,5529643,K01679.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,1,q1_q17_dr25_sup_koi,0.759766456,1.62e-06,-1.62e-06,131.7904,0.00189,-0.00189,2454964.79,0.00189,-0.00189,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005529/005529643/dv/kplr005529643-20160209194854_dvr.pdf,290.51105,40.708569,15.932,16.389,15.864,15.736,15.64,14.78,14.403,14.308
2325,5530882,K01680.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,0,1,1,q1_q17_dr25_sup_koi,5.0825188,4.12e-05,-4.12e-05,132.95792,0.00597,-0.00597,2454965.958,0.00597,-0.00597,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005530/005530882/dv/kplr005530882-20160209194854_dvr.pdf,290.92316,40.77103,14.445,14.96,14.379,14.225,14.136,13.229,12.852,12.775
2326,5531953,K01681.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,6.93910337,3.06e-05,-3.06e-05,138.33927,0.00349,-0.00349,2454971.339,0.00349,-0.00349,q1_q17_dr25_sup_koi,4,q1_q17_dr25_tce,005/005531/005531953/dv/kplr005531953-20160209194854_dvr.pdf,291.285,40.730049,15.855,17.402,16.014,15.192,14.74,13.465,12.847,12.58
2327,5531953,K01681.02,Kepler-1984 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,1.992812339,7.832e-06,-7.832e-06,131.70565,0.00307,-0.00307,2454964.706,0.00307,-0.00307,q1_q17_dr25_sup_koi,4,q1_q17_dr25_tce,005/005531/005531953/dv/kplr005531953-20160209194854_dvr.pdf,291.285,40.730049,15.855,17.402,16.014,15.192,14.74,13.465,12.847,12.58
2328,5531953,K01681.03,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,3.53105835,1.877e-05,-1.877e-05,134.3171,0.00376,-0.00376,2454967.317,0.00376,-0.00376,q1_q17_dr25_sup_koi,4,q1_q17_dr25_tce,005/005531/005531953/dv/kplr005531953-20160209194854_dvr.pdf,291.285,40.730049,15.855,17.402,16.014,15.192,14.74,13.465,12.847,12.58
2329,5531953,K01681.04,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,21.9139549,0.0002121,-0.0002121,148.52144,0.00722,-0.00722,2454981.521,0.00722,-0.00722,q1_q17_dr25_sup_koi,4,q1_q17_dr25_tce,005/005531/005531953/dv/kplr005531953-20160209194854_dvr.pdf,291.285,40.730049,15.855,17.402,16.014,15.192,14.74,13.465,12.847,12.58
2330,5618071,K01682.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,0,0,0,q1_q17_dr25_sup_koi,88.821421,0.002483,-0.002483,160.4918,0.0197,-0.0197,2454993.492,0.0197,-0.0197,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,,291.21811,40.839329,13.747,14.547,13.696,13.405,13.21,12.133,11.61,11.481
2331,6034945,K01683.01,Kepler-927 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,9.11500269,5.079e-05,-5.079e-05,133.97523,0.00469,-0.00469,2454966.975,0.00469,-0.00469,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006034/006034945/dv/kplr006034945-20160209194854_dvr.pdf,289.38351,41.392689,14.63,15.124,14.574,14.418,14.341,13.46,13.137,13.032
2332,6048024,K01684.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,62.81584402,9.523e-05,-9.523e-05,151.47691,0.00121,-0.00121,2454984.477,0.00121,-0.00121,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006048/006048024/dv/kplr006048024-20160209194854_dvr.pdf,293.53448,41.329899,12.849,13.157,12.787,12.717,12.709,11.864,11.606,11.563
2333,6049190,K01685.01,Kepler-1764 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,70.468171,0.000268,-0.000268,189.15822,0.00345,-0.00345,2455022.158,0.00345,-0.00345,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006049/006049190/dv/kplr006049190-20160209194854_dvr.pdf,293.87988,41.393822,14.811,15.189,14.753,14.649,14.574,13.741,13.453,13.449
2334,6149553,K01686.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,1,0,0,0,q1_q17_dr25_sup_koi,56.86716792,,,157.2619128,,,2454990.262,,,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,,298.50726,41.47905,15.886,17.623,16.181,15.142,14.603,13.33,12.715,12.489
2335,6198999,K01687.01,Kepler-928 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,3.93246069,1.036e-05,-1.036e-05,132.55435,0.00235,-0.00235,2454965.554,0.00235,-0.00235,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006198/006198999/dv/kplr006198999-20160209194854_dvr.pdf,289.92072,41.542831,15.32,16.205,15.256,14.94,14.742,13.685,13.126,12.933
2336,6310636,K01688.01,Kepler-929 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,0.921030497,2.992e-06,-2.992e-06,132.03171,0.00264,-0.00264,2454965.032,0.00264,-0.00264,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006310/006310636/dv/kplr006310636-20160209194854_dvr.pdf,298.48111,41.615341,14.542,15.065,14.509,14.318,14.202,13.271,12.89,12.849
